Massac,15541.4,14255.5,15165.3,14559.8,13311,13226.7,13092.8,12745,13101,13526.3,15907.5,13158.4,14284.8,14907.8,15490.8,16415.6,18632.4,17149.8,17316.4,20322,16510.9
Menard,8838,8429.1,9227.5,9217.5,8724.8,8648.6,8014.1,7936.1,8485.9,8765.1,9286.4,8711.2,8363.4,8701.1,8938.7,8847.4,9064.4,9914.2,10652,9904.5,10109.3
Mercer,11117.6,9249,9717.2,9264.4,8278.3,8153.7,8072.1,8170.7,8628,8585.9,8038.8,9157.6,7874.4,9135.1,9155.6,11098.9,9168.2,8339.5,9613.6,9476.3,9969.7
Monroe,5283.4,4187.2,4913.3,4718,4257.3,4044.8,4070.4,4131.4,4134.9,4099,3795.9,4212.5,4452.5,4334.1,5007.9,4810.8,5118.4,4455.3,4816.8,5070.9,4926.4
Montgomery,13008.1,12129.5,13021.4,12423.9,11685.3,12039.7,11364.5,11738.1,8170,11887.2,14061.7,11906.6,12401.4,15031.7,13271.8,13161.7,13251.1,12286,14691.1,15589.8,15378.2
Morgan,10739.6,9868.1,10790.1,10628.9,9834.2,10063.3,10012.9,10796.4,10637.1,11150,12143.7,12787.1,13554.7,12466.1,12474,13588.2,13143.6,12423.8,14709.7,13833.8,13627
Moultrie,8957.8,8063.5,8248.4,7955.4,7212.3,7887.2,8265.8,8613,8113.9,8146.8,9104,9673.9,8359.5,9353.6,10171.1,10173,11095.5,10024.7,12031.1,11491.5,8358.4
Ogle,7735.2,6618.4,7101.5,7236.7,7115.1,6954.7,7220,8021.9,8170.1,8879.6,8507.7,7631.5,8041.5,8646.5,11059.1,10657.1,10299.1,10242.4,12828.1,11243.2,10238.3
Peoria,14610.4,13128.7,13129.7,12852.8,12264.6,11916.8,11666.7,12533.6,12972.6,12755.4,12179.3,13153.7,13004.8,14320.1,16047.2,13900.3,17754.4,18816.9,16539.1,16233.3,15180.4
Perry,14473.1,13465,13759.7,13825,11286.2,11923.7,11631.7,12326.1,11926.1,12474.6,14552.4,12065.9,13838.7,14464.7,15786.2,15377.7,16414.8,15373.8,15571.1,14765.6,14914.4
Piatt,6935.1,6235.6,6756.2,6426,5919,5888.8,5636.7,6290.1,6003.1,6432.6,6108.5,7199.4,6643.1,6275.4,6522,7294.2,7227.7,7160.6,7147.2,7339.8,6431.9
Pike,16574.8,14713.2,14073,14087.5,12178.4,12898.4,12620.8,12876.5,12172.4,12330,13895.1,14123.4,13039.6,14866.1,16159.8,16274.4,15491.2,15473.9,16528.3,14592.4,14322.3
Pope,17253.2,16874,18014.1,15537.8,13925.8,14237.1,13871.1,14443.9,13612.6,14330.9,15876.7,16283.8,19261.1,17687.2,16000.9,16973.1,18149.1,20447.7,18767.3,18685.7,17061.1
Pulaski,25491.8,24565.6,25947.6,23202.3,20794,20989.9,20300.6,21311.2,19551,20109.9,28228.1,25303.1,23620.1,26137.5,24156.4,20781.8,22523.7,24485,21477,22906.3,24586.1
Putnam,6900.1,6139.9,6940.5,6842.5,6167.8,6611.7,6692,7127.5,6536.1,6433.9,6725.8,7486.1,6848.2,7396.9,8504.3,7824.5,8294.2,8680.9,8909.9,8806.3,8717.2
