,Crime,Date,Latitude,Longitude
139,OTHER OFFENSE,2020-04-03T19:00:00.000,41.782078516999995,-87.675190962
140,CRIMINAL DAMAGE,2020-04-03T19:00:00.000,41.91068922,-87.695774944
141,BATTERY,2020-04-03T19:00:00.000,41.727944754,-87.653111217
142,OTHER OFFENSE,2020-04-03T19:00:00.000,41.764779745,-87.67637213
143,ROBBERY,2020-04-03T19:00:00.000,41.742991296,-87.632025815
144,CRIMINAL DAMAGE,2020-04-03T18:54:00.000,41.695244583000004,-87.62916148
145,CRIMINAL DAMAGE,2020-04-03T18:45:00.000,41.6988875,-87.62935609200001
146,ROBBERY,2020-04-03T18:42:00.000,41.845496489,-87.63394264899999
147,BATTERY,2020-04-03T18:30:00.000,41.776151397,-87.64165126700001
148,BATTERY,2020-04-03T18:30:00.000,41.714822600000005,-87.569444242
149,THEFT,2020-04-03T18:30:00.000,41.771199121,-87.637301763
150,ROBBERY,2020-04-03T18:30:00.000,41.850756176,-87.631969403
151,CRIMINAL DAMAGE,2020-04-03T18:25:00.000,41.814908564,-87.690731646
152,BATTERY,2020-04-03T18:15:00.000,41.755929033,-87.657389725
153,OTHER OFFENSE,2020-04-03T18:15:00.000,41.693960671,-87.62165846799999
154,DECEPTIVE PRACTICE,2020-04-03T18:07:00.000,41.972752052,-87.724516826
155,WEAPONS VIOLATION,2020-04-03T18:06:00.000,41.890441825,-87.74935883399999
156,DECEPTIVE PRACTICE,2020-04-03T18:00:00.000,41.893763000999996,-87.765353356
157,BURGLARY,2020-04-03T18:00:00.000,41.766048084,-87.579041832
158,THEFT,2020-04-03T17:55:00.000,41.89486351,-87.629125336
159,THEFT,2020-04-03T17:55:00.000,41.866937617,-87.624141504
160,CRIMINAL DAMAGE,2020-04-03T17:50:00.000,41.9613028,-87.690215099
161,OFFENSE INVOLVING CHILDREN,2020-04-03T17:50:00.000,41.747038040999996,-87.607543271
162,BATTERY,2020-04-03T17:45:00.000,41.909545981,-87.752358893
163,DECEPTIVE PRACTICE,2020-04-03T17:43:00.000,41.87046297,-87.720260149
164,CRIMINAL DAMAGE,2020-04-03T17:30:00.000,41.891791478,-87.620917415
165,THEFT,2020-04-03T17:30:00.000,41.669715963,-87.63442482399999
166,CRIMINAL DAMAGE,2020-04-03T17:30:00.000,41.772625715,-87.576471929
167,DECEPTIVE PRACTICE,2020-04-03T17:30:00.000,41.969173655,-87.721943761
168,BATTERY,2020-04-03T17:30:00.000,41.884071054,-87.722197591
169,BATTERY,2020-04-03T17:30:00.000,41.648614968000004,-87.614887513
170,BATTERY,2020-04-03T17:29:00.000,41.880991939,-87.704394994
171,ASSAULT,2020-04-03T17:20:00.000,41.736629056999995,-87.606268198
172,BATTERY,2020-04-03T17:20:00.000,41.797869159,-87.675671215
173,ROBBERY,2020-04-03T17:10:00.000,41.887768059,-87.758432315
174,THEFT,2020-04-03T17:00:00.000,41.919366106,-87.769120387
175,THEFT,2020-04-03T17:00:00.000,41.919106277,-87.71748728799999
176,OFFENSE INVOLVING CHILDREN,2020-04-03T17:00:00.000,41.691413679,-87.66882624600001
177,OTHER OFFENSE,2020-04-03T17:00:00.000,41.760233308000004,-87.57493156
178,WEAPONS VIOLATION,2020-04-03T16:56:00.000,41.847900576,-87.725074445
179,OTHER OFFENSE,2020-04-03T16:55:00.000,41.874806519,-87.75834286700001
180,BATTERY,2020-04-03T16:47:00.000,41.946488939,-87.718661096
181,ASSAULT,2020-04-03T16:47:00.000,41.94078561,-87.806845204
